time,gFx,gFy,gFz,TgF
1.262000,-0.1499,0.9726,0.1186,0.991
1.273000,-0.1498,0.9723,0.1196,0.991
1.282000,-0.1493,0.9728,0.1200,0.991
1.292000,-0.1490,0.9740,0.1198,0.993
1.302000,-0.1494,0.9753,0.1189,0.994
1.312000,-0.1490,0.9767,0.1196,0.995
1.345000,-0.1485,0.9777,0.1200,0.996
1.347000,-0.1472,0.9787,0.1198,0.997
1.347000,-0.1454,0.9791,0.1198,0.997
1.372000,-0.1428,0.9791,0.1190,0.997
1.373000,-0.1412,0.9786,0.1181,0.996
1.374000,-0.1406,0.9776,0.1187,0.995
1.382000,-0.1400,0.9767,0.1192,0.994
1.392000,-0.1396,0.9758,0.1200,0.993
1.402000,-0.1396,0.9744,0.1203,0.992
1.412000,-0.1419,0.9744,0.1206,0.992
1.434000,-0.1419,0.9739,0.1213,0.992
1.438000,-0.1484,0.9727,0.1223,0.992
1.441000,-0.1484,0.9722,0.1223,0.991
1.452000,-0.1500,0.9717,0.1234,0.991
1.462000,-0.1505,0.9714,0.1257,0.991
1.472000,-0.1504,0.9708,0.1259,0.990
1.482000,-0.1507,0.9704,0.1248,0.990
1.492000,-0.1513,0.9709,0.1259,0.991
1.503000,-0.1518,0.9720,0.1261,0.992
1.512000,-0.1522,0.9734,0.1264,0.993
1.521000,-0.1523,0.9750,0.1264,0.995
1.532000,-0.1515,0.9758,0.1266,0.996
1.553000,-0.1501,0.9772,0.1251,0.997
1.557000,-0.1490,0.9786,0.1245,0.998
1.562000,-0.1478,0.9797,0.1237,0.998
1.576000,-0.1468,0.9806,0.1228,0.999
1.582000,-0.1461,0.9814,0.1226,1.000
1.592000,-0.1450,0.9820,0.1211,1.000
1.604000,-0.1435,0.9816,0.1197,0.999
1.612000,-0.1416,0.9799,0.1197,0.997
1.622000,-0.1395,0.9786,0.1191,0.996
1.632000,-0.1377,0.9770,0.1200,0.994
1.653000,-0.1360,0.9761,0.1204,0.993
1.657000,-0.1347,0.9760,0.1189,0.992
1.662000,-0.1345,0.9762,0.1184,0.993
1.674000,-0.1346,0.9771,0.1191,0.993
1.682000,-0.1351,0.9778,0.1180,0.994
1.692000,-0.1360,0.9783,0.1182,0.995
1.704000,-0.1362,0.9778,0.1184,0.994
1.712000,-0.1358,0.9770,0.1175,0.993
1.722000,-0.1340,0.9759,0.1163,0.992
1.732000,-0.1323,0.9755,0.1157,0.991
1.759000,-0.1311,0.9756,0.1141,0.991
1.761000,-0.1313,0.9770,0.1124,0.992
1.762000,-0.1330,0.9788,0.1138,0.994
1.778000,-0.1356,0.9813,0.1146,0.997
1.782000,-0.1373,0.9837,0.1140,1.000
1.794000,-0.1382,0.9863,0.1130,1.002
1.809000,-0.1369,0.9864,0.1125,1.002
1.814000,-0.1350,0.9849,0.1131,1.001
1.827000,-0.1324,0.9832,0.1134,0.999
1.833000,-0.1303,0.9811,0.1135,0.996
1.878000,-0.1286,0.9789,0.1127,0.994
1.880000,-0.1280,0.9775,0.1104,0.992
1.882000,-0.1281,0.9762,0.1085,0.991
1.884000,-0.1291,0.9754,0.1101,0.990
1.884000,-0.1306,0.9745,0.1124,0.990
1.902000,-0.1322,0.9740,0.1124,0.989
1.904000,-0.1328,0.9732,0.1103,0.988
1.916000,-0.1311,0.9742,0.1052,0.989
1.930000,-0.1301,0.9778,0.0970,0.991
1.933000,-0.1231,0.9759,0.1088,0.990
1.956000,-0.1206,0.9783,0.1058,0.991
1.957000,-0.1207,0.9798,0.1035,0.993
1.965000,-0.1229,0.9798,0.1047,0.993
1.978000,-0.1261,0.9799,0.1035,0.993
1.981000,-0.1286,0.9793,0.1057,0.993
1.991000,-0.1302,0.9789,0.1081,0.993
2.003000,-0.1287,0.9789,0.1099,0.993
2.011000,-0.1267,0.9787,0.1108,0.993
2.022000,-0.1259,0.9786,0.1123,0.993
2.031000,-0.1253,0.9792,0.1125,0.994
2.052000,-0.1263,0.9795,0.1138,0.994
2.053000,-0.1308,0.9795,0.1126,0.995
2.062000,-0.1351,0.9787,0.1120,0.994
2.074000,-0.1378,0.9783,0.1140,0.995
2.082000,-0.1380,0.9780,0.1126,0.994
2.092000,-0.1355,0.9775,0.1196,0.994
2.102000,-0.1324,0.9776,0.1197,0.994
2.112000,-0.1291,0.9769,0.1163,0.992
2.121000,-0.1281,0.9740,0.1134,0.989
2.132000,-0.1290,0.9727,0.1120,0.988
2.146000,-0.1307,0.9729,0.1110,0.988
2.160000,-0.1327,0.9745,0.1092,0.990
2.161000,-0.1330,0.9761,0.1054,0.991
2.172000,-0.1329,0.9764,0.1055,0.991
2.182000,-0.1325,0.9764,0.1068,0.991
2.192000,-0.1312,0.9764,0.1059,0.991
2.203000,-0.1294,0.9773,0.1055,0.992
2.213000,-0.1292,0.9775,0.1068,0.992
2.222000,-0.1296,0.9780,0.1080,0.992
2.232000,-0.1303,0.9793,0.1083,0.994
2.256000,-0.1309,0.9803,0.1093,0.995
2.257000,-0.1320,0.9805,0.1085,0.995
2.262000,-0.1328,0.9814,0.1071,0.996
2.272000,-0.1319,0.9821,0.1063,0.997
2.282000,-0.1281,0.9830,0.1069,0.997
2.292000,-0.1248,0.9831,0.1077,0.997
2.304000,-0.1233,0.9826,0.1076,0.996
2.312000,-0.1231,0.9828,0.1081,0.996
2.322000,-0.1248,0.9828,0.1081,0.997
2.332000,-0.1263,0.9827,0.1051,0.996
2.373000,-0.1269,0.9824,0.1031,0.996
2.375000,-0.1266,0.9817,0.1032,0.995
2.377000,-0.1258,0.9810,0.1060,0.995
2.383000,-0.1253,0.9815,0.1073,0.995
2.385000,-0.1257,0.9817,0.1062,0.995
2.410000,-0.1267,0.9815,0.1040,0.995
2.419000,-0.1287,0.9817,0.1021,0.995
2.424000,-0.1320,0.9820,0.1002,0.996
2.424000,-0.1336,0.9811,0.0981,0.995
2.432000,-0.1340,0.9806,0.0969,0.994
2.442000,-0.1307,0.9782,0.0994,0.992
2.473000,-0.1342,0.9802,0.0988,0.994
2.474000,-0.1341,0.9786,0.0993,0.993
2.475000,-0.1330,0.9802,0.0978,0.994
2.481000,-0.1316,0.9804,0.0985,0.994
2.496000,-0.1292,0.9805,0.0977,0.994
2.506000,-0.1285,0.9793,0.0981,0.993
2.512000,-0.1298,0.9784,0.0947,0.992
2.522000,-0.1306,0.9780,0.0916,0.991
2.532000,-0.1322,0.9787,0.0905,0.992
2.556000,-0.1319,0.9795,0.0892,0.992
2.557000,-0.1302,0.9789,0.0888,0.992
2.562000,-0.1298,0.9783,0.0878,0.991
2.573000,-0.1301,0.9782,0.0843,0.990
2.582000,-0.1314,0.9778,0.0840,0.990
2.591000,-0.1314,0.9778,0.0840,0.990
2.603000,-0.1331,0.9781,0.0831,0.991
2.612000,-0.1323,0.9793,0.0828,0.992
2.622000,-0.1329,0.9803,0.0828,0.993
2.632000,-0.1351,0.9776,0.0884,0.991
2.652000,-0.1369,0.9762,0.0801,0.989
2.654000,-0.1396,0.9786,0.0785,0.992
2.662000,-0.1390,0.9821,0.0750,0.995
2.672000,-0.1356,0.9854,0.0756,0.998
2.682000,-0.1340,0.9871,0.0779,0.999
2.692000,-0.1336,0.9877,0.0767,1.000
2.702000,-0.1312,0.9861,0.0741,0.998
2.712000,-0.1298,0.9843,0.0745,0.996
2.722000,-0.1296,0.9814,0.0724,0.993
2.732000,-0.1285,0.9795,0.0672,0.990
2.751000,-0.1291,0.9788,0.0638,0.989
2.756000,-0.1314,0.9769,0.0625,0.988
2.762000,-0.1345,0.9800,0.0613,0.991
2.778000,-0.1378,0.9819,0.0643,0.994
2.786000,-0.1417,0.9831,0.0652,0.995
2.797000,-0.1454,0.9847,0.0647,0.997
2.806000,-0.1482,0.9869,0.0603,1.000
2.812000,-0.1495,0.9882,0.0600,1.001
2.822000,-0.1501,0.9881,0.0596,1.001
2.850000,-0.1480,0.9855,0.0607,0.998
2.851000,-0.1454,0.9825,0.0585,0.995
2.852000,-0.1410,0.9799,0.0586,0.992
2.862000,-0.1366,0.9776,0.0597,0.989
2.872000,-0.1355,0.9772,0.0584,0.988
2.883000,-0.1366,0.9773,0.0556,0.988
2.892000,-0.1228,0.9751,0.0529,0.984
2.903000,-0.1228,0.9776,0.0500,0.987
2.912000,-0.1277,0.9773,0.0472,0.987
2.922000,-0.1284,0.9773,0.0421,0.987
2.947000,-0.1303,0.9776,0.0380,0.987
2.953000,-0.1318,0.9793,0.0396,0.989
2.955000,-0.1309,0.9816,0.0391,0.991
2.962000,-0.1309,0.9844,0.0391,0.994
2.976000,-0.1319,0.9869,0.0408,0.996
2.992000,-0.1309,0.9882,0.0446,0.998
3.003000,-0.1291,0.9881,0.0484,0.998
3.005000,-0.1273,0.9888,0.0506,0.998
3.013000,-0.1256,0.9899,0.0531,0.999
3.022000,-0.1287,0.9897,0.0556,1.000
3.056000,-0.1325,0.9885,0.0535,0.999
3.057000,-0.1355,0.9888,0.0517,0.999
3.058000,-0.1457,0.9869,0.0544,0.999
3.062000,-0.1452,0.9786,0.0480,0.990
3.074000,-0.1441,0.9738,0.0533,0.986
3.084000,-0.1593,0.9766,0.0487,0.991
3.092000,-0.1615,0.9800,0.0368,0.994
3.103000,-0.1429,0.9776,0.0469,0.989
3.112000,-0.1253,0.9758,0.0600,0.986
3.122000,-0.1218,0.9791,0.0602,0.988
3.166000,-0.1207,0.9802,0.0567,0.989
3.167000,-0.1223,0.9802,0.0542,0.989
3.169000,-0.1285,0.9821,0.0537,0.992
3.169000,-0.1313,0.9857,0.0490,0.996
3.171000,-0.1311,0.9886,0.0489,0.998
3.183000,-0.1292,0.9890,0.0522,0.999
3.191000,-0.1240,0.9883,0.0541,0.998
3.203000,-0.1208,0.9872,0.0551,0.996
3.212000,-0.1195,0.9854,0.0577,0.994
3.225000,-0.1207,0.9837,0.0607,0.993
3.256000,-0.1234,0.9815,0.0597,0.991
3.257000,-0.1248,0.9800,0.0579,0.990
3.258000,-0.1246,0.9798,0.0573,0.989
3.262000,-0.1255,0.9802,0.0566,0.990
3.271000,-0.1262,0.9808,0.0555,0.990
3.283000,-0.1256,0.9813,0.0550,0.991
3.291000,-0.1252,0.9821,0.0561,0.992
3.302000,-0.1224,0.9830,0.0566,0.992
3.311000,-0.1195,0.9843,0.0555,0.993
3.321000,-0.1162,0.9865,0.0524,0.995
3.347000,-0.1138,0.9876,0.0506,0.995
3.349000,-0.1126,0.9870,0.0514,0.995
3.352000,-0.1103,0.9869,0.0519,0.994
3.362000,-0.1086,0.9863,0.0515,0.994
3.372000,-0.1073,0.9854,0.0504,0.993
3.383000,-0.1073,0.9838,0.0485,0.991
3.392000,-0.1064,0.9819,0.0467,0.989
3.402000,-0.1069,0.9800,0.0448,0.987
3.412000,-0.1068,0.9784,0.0454,0.985
3.421000,-0.1059,0.9780,0.0451,0.985
3.446000,-0.1042,0.9804,0.0435,0.987
3.447000,-0.1037,0.9830,0.0426,0.989
3.463000,-0.1037,0.9835,0.0424,0.990
3.464000,-0.1021,0.9820,0.0432,0.988
3.471000,-0.1011,0.9799,0.0440,0.986
3.482000,-0.1008,0.9762,0.0437,0.982
3.491000,-0.1051,0.9734,0.0452,0.980
3.502000,-0.1091,0.9742,0.0436,0.981
3.512000,-0.1151,0.9771,0.0402,0.985
3.522000,-0.1198,0.9821,0.0380,0.990
3.545000,-0.1220,0.9854,0.0374,0.994
3.547000,-0.1241,0.9870,0.0381,0.995
3.561000,-0.1247,0.9888,0.0403,0.997
3.563000,-0.1257,0.9913,0.0419,1.000
3.572000,-0.1273,0.9951,0.0436,1.004
3.582000,-0.1291,0.9984,0.0436,1.008
3.592000,-0.1325,0.9995,0.0404,1.009
3.602000,-0.1355,1.0004,0.0380,1.010
3.612000,-0.1356,1.0023,0.0363,1.012
3.622000,-0.1320,1.0029,0.0362,1.012
3.647000,-0.1270,1.0007,0.0379,1.009
3.648000,-0.1207,0.9969,0.0392,1.005
3.651000,-0.1153,0.9927,0.0397,1.000
3.662000,-0.1115,0.9883,0.0403,0.995
3.672000,-0.1102,0.9841,0.0388,0.991
3.682000,-0.1099,0.9786,0.0357,0.985
3.692000,-0.1097,0.9736,0.0341,0.980
3.702000,-0.1091,0.9721,0.0309,0.979
3.712000,-0.1090,0.9739,0.0268,0.980
3.722000,-0.1096,0.9739,0.0197,0.980
